run-all via ollama/qwen3.5:2b
Skipping STEP_1_analyze_phase1 (complete)

============================================================
Executing STEP_2_phase2_generalization
============================================================

DHTP-RS-MASTER-001 — STEP_2_phase2_generalization
  Provider: ollama (qwen3.5:2b)
  20 trials × 3 conditions × 6 probes = 360 LLM calls
  Evaluator: blind rubric (NOT independent)

  [1/360] fleet_health/dhtp_packet t1: q=87% tok=254 
  [2/360] fleet_health/dhtp_packet t2: q=87% tok=253 
  [3/360] fleet_health/dhtp_packet t3: q=87% tok=252 
  [4/360] fleet_health/dhtp_packet t4: q=73% tok=255 
  [5/360] fleet_health/dhtp_packet t5: q=87% tok=254 
  [6/360] fleet_health/dhtp_packet t6: q=93% tok=253 
  [7/360] fleet_health/dhtp_packet t7: q=87% tok=253 
  [8/360] fleet_health/dhtp_packet t8: q=93% tok=253 
  [9/360] fleet_health/dhtp_packet t9: q=93% tok=252 
  [10/360] fleet_health/dhtp_packet t10: q=87% tok=253 
  [11/360] fleet_health/dhtp_packet t11: q=87% tok=255 
  [12/360] fleet_health/dhtp_packet t12: q=67% tok=255 
  [13/360] fleet_health/dhtp_packet t13: q=87% tok=255 
  [14/360] fleet_health/dhtp_packet t14: q=87% tok=253 
  [15/360] fleet_health/dhtp_packet t15: q=93% tok=254 
  [16/360] fleet_health/dhtp_packet t16: q=67% tok=253 
  [17/360] fleet_health/dhtp_packet t17: q=87% tok=253 
  [18/360] fleet_health/dhtp_packet t18: q=87% tok=253 
  [19/360] fleet_health/dhtp_packet t19: q=87% tok=254 
  [20/360] fleet_health/dhtp_packet t20: q=87% tok=253 
  [21/360] fleet_health/matched_budget_raw t1: q=86% tok=285 
  [22/360] fleet_health/matched_budget_raw t2: q=87% tok=285 
  [23/360] fleet_health/matched_budget_raw t3: q=87% tok=285 
  [24/360] fleet_health/matched_budget_raw t4: q=93% tok=285 
  [25/360] fleet_health/matched_budget_raw t5: q=87% tok=285 
  [26/360] fleet_health/matched_budget_raw t6: q=87% tok=285 
  [27/360] fleet_health/matched_budget_raw t7: q=87% tok=285 
  [28/360] fleet_health/matched_budget_raw t8: q=87% tok=285 
  [29/360] fleet_health/matched_budget_raw t9: q=87% tok=285 
  [30/360] fleet_health/matched_budget_raw t10: q=80% tok=285 
  [31/360] fleet_health/matched_budget_raw t11: q=93% tok=285 
  [32/360] fleet_health/matched_budget_raw t12: q=93% tok=285 
  [33/360] fleet_health/matched_budget_raw t13: q=87% tok=285 
  [34/360] fleet_health/matched_budget_raw t14: q=87% tok=285 
  [35/360] fleet_health/matched_budget_raw t15: q=87% tok=285 
